Index page,"Oorspr. naam op de kaart/
Original name on the map","Tegenwoordige naam/
Present name","Soortnaam/
Category","Coördinaten/
Coordinates","Kaartvak/
Map grid square","Kaart/
Map","Pagina/
Page"
402,Catara,Katar/Qatar,landstreek/region,25-25N/51-20E,B3,I-2a,p. 42
402,Catare,Katar/Qatar,landstreek/region,25-25N/51-20E,B1/2,I-13b,p. 104
402,Catchay,Kachchai,plaats/settlement,09-38N/80-12E,A2,I-23r,p. 170
402,Catchayture,-,plaats/settlement,-,A2,I-23r,p. 170
402,Cateburitche,-,plaats/settlement,-,A2,I-23r,p. 170
402,Catelua,Kataluwa,plaats/settlement,05-59N/80-20E,B2,I-23a,p. 138
402,Catewave,-,plaats/settlement,-,B3,I-23a,p. 138
402,Catidive,Kachchaitivu,eiland/island,09-23N/79-32E,A1L,I-23u,p. 176
402,Catifa,al-Qatif,plaats/settlement,26-33N/50-00E,B3,I-2a,p. 42
402,Catnetty,-,-,-,01-B2,I-22a,p. 126-128
402,Catoenoora,-,-,-,A2,II-20,p. 316
402,Cats Droogte,-,ondiepte/shoals,-,A2,I-28,p. 204
402,Cattalampittij,-,plaats/settlement,-,A/B2,I-23r,p. 170
402,Cattavelij,-,plaats/settlement,-,A2,I-23r,p. 170
402,Cattecoederipoe,Kattankudi,plaats/settlement,07-40N/81-44E,B2L,I-23d,p. 144
402,Cattewaytope,-,plaats/settlement,-,B3,I-23c,p. 142
402,Cattugampele Corla,-,landstreek/region,-,B2,I-23a,p. 138
402,Cattuvan,Kadduvan,plaats/settlement,09-45N/80-02E,A1/2,I-23r,p. 170
402,Catylale,-,plaats/settlement,-,A2,II-10,p. 290
402,Cauby,Kurier,rif/reef,01-13S/127-49E,A2,II-1a,p. 234
402,"Caulykela, R.",Kole kole,rivier/river,03-07S/128-12E,A2,II-20,p. 316
402,Caulykely,-,-,-,A2,II-20,p. 316
402,Cauno,-,-,-,A1,II-46a,p. 388
402,Cauo,-,-,04-42S/130-31E,A2,II-20,p. 316
402,"Cauw, Negery",-,plaats/settlement,-,A2,II-28,p. 338
402,"Cauw, R.",Kaoe/Kau,rivier/river,01-08N/127/52E,A2,II-28,p. 338
402,"Cauwa, R.",Kawa,rivier/river,02-56S/128-08E,A3,II-20,p. 316
402,"Cauwa, R.",Kawa,rivier/river,02-56S/128-08E,A1,II-19,p. 314
402,"Cavalles, Caap dos",Xiaoxiong Shan,kaap/cape,25-28N/119-51E,B2/3,II-34a,p. 352
402,"Cavalles, Caap dos",Xiaoxiong Shan,kaap/cape,25-28N/119-51E,B1,II-36,p. 360
402,"Cavallos, Oosthoek van Caap dos",Xiaoxiong Shan,kaap/cape,25-28N/119-51E,A3RB,II-39,p. 366
402,"Cawali, Negery",Kawali,plaats/settlement,07-11S/108-21E,B2,II-4b,p. 266
402,Caycalaon,Katkovalam,plaats/settlement,09-48N/80-15E,A2,I-23r,p. 170
402,Caydaddy,Kaitadu,plaats/settlement,09-40N/80-06E,A2,I-23r,p. 170
402,Caykette,-,-,-,01-A1,I-22a,p. 126-128
402,Cayletto,Kairatoe/Kairatu,plaats/settlement,03-21S/128-21E,A2,II-20,p. 316
402,Caymans Spr.,-,rivier/river,-,A2,I-30,p. 210
402,Caymans spruyt,Ake Mawea,rivier/river,01-34N/128-02E,A2,II-28,p. 338
402,Caymansspruyt,-,rivier/river,-,A2,I-28,p. 204
402,"Caymeer, Pagood",<Point Calimere>,gebouw/building,10-13N/79-52E,A2,I-23a,p. 138
402,Caymelle,Kochchikade,plaats/settlement,06-57N/79-51E,B2,I-23a,p. 138
402,Caymelle,Kochchikade,plaats/settlement,06-57N/79-51E,B2L,I-23u,p. 176
402,Cayo,Kajoa/Kayoa,eiland/island,00N/127-26E,B2,II-28,p. 338
402,Cays,Eluvativu,eiland/island,09-42N/79-48E,A2L,I-23u,p. 176
402,"Caytana, R.",<Ardjoenobaai/Teluk Arjuno>,inham/inlet,00-53S/123-01E,A2,II-17b,p. 306
402,Cazery,-,-,-,B2,I-27,p. 202
402,Cazobibi,<bij huidige/near present al-Hudaydah>,plaats/settlement,14-48N/42-55E,B3,I-2a,p. 42
402,Cebafoen,-,berg/mountain,-,A1,I-13b,p. 104
402,Cebon,Tg. Lebo,kaap/cape,04-41S/122-50E,B2,II-17a,p. 304
402,Cecacca,Kusakaki Shima,eiland/island,30-50N/129-26E,B2,II-40a,p. 368
402,"Cecir de Mar, Plo.",Cecir de Mer/Cu Lao Thu,eiland/island,10-31N/108-56E,B3,II-8,p. 288
402,"Cecir de Mar, Po.",Cecir de Mer/Cu Lao Thu,eiland/island,10-31N/108-56E,B1,II-1b,p. 236
402,"Cecir de Terra, Plo.",Cu Lao Hon/Hon Lao/Pu. Cecir de Terre,eiland/island,11-13N/108-49E,A3,II-8,p. 288
402,"Cecir, B.",Vinh Phan Thiet,baai/bay,10-52N/108-08E,B1,II-1b,p. 236
402,"Cecir, Baja",Vinh Phan Thiet,baai/bay,10-52N/108-08E,A3,II-8,p. 288
402,"Cecir, C.",Pointe Lagan,kaap/cape,11-10N/108-43E,B1,II-1b,p. 236
402,Ceduacare,Dagasoeli/Dagasuli,eiland/island,02-11N/127-45E,A2,II-28,p. 338
402,"Cedube, I.",Cheduba/Mun Aung,eiland/island,18-48N/93-37E,A2/3,I-2b,p. 44
402,Ceisin,-,plaats/settlement,-,B3R,II-38,p. 364
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,A1LB,II-17c,p. 308
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,B1LO,II-17c,p. 308
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,A2/3R,II-17c,p. 308
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,B2,II-1b,p. 236
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,B3,I-1,p. 40
402,Celebes,Celebes/Sulawesi,eiland/island,02S/120E,A2,II-1a,p. 234
402,Celebes Oostcust,Celebes/Sulawesi,eiland/island,02S/120E,A1/B2,II-17b,p. 306
402,"Celebes, Oost-Cust van",Celebes/Sulawesi,eiland/island,02S/120E,A1/B2,II-17a,p. 304
402,Celici,-,plaats/settlement,-,A1L,I-25a,p. 180
402,Cembracus,Zélée Bank,ondiepte/shoals,12-15S/46-30E,B2,I-2a,p. 42
402,Cera,Sera/Seira,eiland/island,07-40S/131-04E,B2,II-19,p. 314
402,Cera,Sera/Seira,eiland/island,07-40S/131-04E,A2,II-1a,p. 234
402,Ceram,Ceram/Seram/Seran,eiland/island,03S/130-30E,A2/A3,II-20,p. 316
402,Ceram,Ceram/Seram/Seran,eiland/island,03S/130-30E,A1/A2,II-19,p. 314
402,Ceram,Ceram/Seram/Seran,eiland/island,03S/130-30E,B1,II-46a,p. 388
402,Ceram,Ceram/Seram/Seran,eiland/island,03S/130-30E,B3,I-1,p. 40
